order_num :1437835631;Summ :150;Date :2015-7-25 23:47:18
order_num :1437838879;Summ :1.000000;Date :2015-7-26 0:42:51
order_num :1437838879;Summ :1.000000;Date :2015-7-26 0:43:51
order_num :1437838879;Summ :1.000000;Date :2015-7-26 0:44:51
order_num :1437838879;Summ :1.000000;Date :2015-7-26 0:45:51
order_num :1437843267;Summ :1.000000;Date :2015-7-26 1:55:29
order_num :1437843267;Summ :1.000000;Date :2015-7-26 1:56:29
order_num :1437843267;Summ :1.000000;Date :2015-7-26 1:57:30
order_num :1437843267;Summ :1.000000;Date :2015-7-26 1:58:30
order_num :1437843456;Summ :1.000000;Date :2015-7-26 1:58:45
order_num :1437843456;Summ :1.000000;Date :2015-7-26 1:59:46
order_num :1437843456;Summ :1.000000;Date :2015-7-26 2:0:46
order_num :1437843456;Summ :1.000000;Date :2015-7-26 2:1:47
order_num :1438084189;Summ :29.100000;Date :2015-7-26 23:13:59
order_num :1438084189;Summ :29.100000;Date :2015-7-26 23:14:59
order_num :1438084189;Summ :29.100000;Date :2015-7-26 23:15:59
order_num :1438084189;Summ :29.100000;Date :2015-7-26 23:16:59
order_num :1438185354;Summ :30.000000;Date :2015-7-27 0:11:28
order_num :1438185354;Summ :30.000000;Date :2015-7-27 0:12:29
order_num :1438185354;Summ :30.000000;Date :2015-7-27 0:13:29
order_num :1438185354;Summ :30.000000;Date :2015-7-27 0:14:30
order_num :1438121227;Summ :20.000000;Date :2015-7-27 0:29:53
order_num :1438121227;Summ :20.000000;Date :2015-7-27 0:30:54
order_num :1438121227;Summ :20.000000;Date :2015-7-27 0:31:54
order_num :1438121227;Summ :20.000000;Date :2015-7-27 0:32:54
order_num :1437997721;Summ :80.000000;Date :2015-7-27 20:20:34
order_num :1437997721;Summ :80.000000;Date :2015-7-27 20:21:34
order_num :1437997721;Summ :80.000000;Date :2015-7-27 20:22:34
order_num :1437997721;Summ :80.000000;Date :2015-7-27 20:23:34
order_num :1438434049;Summ :20.000000;Date :2015-7-29 19:51:42
order_num :1438434049;Summ :20.000000;Date :2015-7-29 19:52:42
order_num :1438434049;Summ :20.000000;Date :2015-7-29 19:53:42
order_num :1438434049;Summ :20.000000;Date :2015-7-29 19:54:42
order_num :1438312157;Summ :9.000000;Date :2015-7-29 23:17:22
order_num :1438312157;Summ :9.000000;Date :2015-7-29 23:18:22
order_num :1438312157;Summ :9.000000;Date :2015-7-29 23:19:22
order_num :1438312157;Summ :9.000000;Date :2015-7-29 23:20:22
order_num :1438455562;Summ :32.000000;Date :2015-7-30 1:41:46
order_num :1438455562;Summ :32.000000;Date :2015-7-30 1:42:46
order_num :1438455562;Summ :32.000000;Date :2015-7-30 1:43:46
order_num :1438455562;Summ :32.000000;Date :2015-7-30 1:44:46
order_num :1438193481;Summ :15.000000;Date :2015-7-30 3:12:1
order_num :1438193481;Summ :15.000000;Date :2015-7-30 3:13:2
order_num :1438193481;Summ :15.000000;Date :2015-7-30 3:14:2
order_num :1438193481;Summ :15.000000;Date :2015-7-30 3:15:2
order_num :1438431575;Summ :27.900000;Date :2015-7-30 13:53:5
order_num :1438431575;Summ :27.900000;Date :2015-7-30 13:54:5
order_num :1438431575;Summ :27.900000;Date :2015-7-30 13:55:6
order_num :1438431575;Summ :27.900000;Date :2015-7-30 13:56:6
order_num :1438516203;Summ :190.000000;Date :2015-7-30 18:49:18
order_num :1438516203;Summ :190.000000;Date :2015-7-30 18:50:19
order_num :1438516203;Summ :190.000000;Date :2015-7-30 18:51:19
order_num :1438516203;Summ :190.000000;Date :2015-7-30 18:52:20
order_num :1438311438;Summ :93.000000;Date :2015-7-30 23:27:37
order_num :1438311438;Summ :93.000000;Date :2015-7-30 23:28:37
order_num :1438311438;Summ :93.000000;Date :2015-7-30 23:29:37
order_num :1438311438;Summ :93.000000;Date :2015-7-30 23:30:37
order_num :1438280523;Summ :1.000000;Date :2015-7-30 23:53:56
order_num :1438280523;Summ :1.000000;Date :2015-7-30 23:54:56
order_num :1438280523;Summ :1.000000;Date :2015-7-30 23:55:56
order_num :1438280523;Summ :1.000000;Date :2015-7-30 23:56:56
order_num :1438606592;Summ :23.000000;Date :2015-7-31 19:44:13
order_num :1438606592;Summ :23.000000;Date :2015-7-31 19:45:14
order_num :1438606592;Summ :23.000000;Date :2015-7-31 19:46:14
order_num :1438606592;Summ :23.000000;Date :2015-7-31 19:47:14
order_num :1438594745;Summ :29.100000;Date :2015-8-1 0:17:40
order_num :1438594745;Summ :29.100000;Date :2015-8-1 0:18:41
order_num :1438594745;Summ :29.100000;Date :2015-8-1 0:19:41
order_num :1438594745;Summ :29.100000;Date :2015-8-1 0:20:42
order_num :1438611538;Summ :30.000000;Date :2015-8-1 1:15:33
order_num :1438611538;Summ :30.000000;Date :2015-8-1 1:16:33
order_num :1438611538;Summ :30.000000;Date :2015-8-1 1:17:33
order_num :1438611538;Summ :30.000000;Date :2015-8-1 1:18:33
order_num :1438695670;Summ :15.000000;Date :2015-8-2 1:43:0
order_num :1438695670;Summ :15.000000;Date :2015-8-2 1:44:1
order_num :1438695670;Summ :15.000000;Date :2015-8-2 1:45:1
order_num :1438695670;Summ :15.000000;Date :2015-8-2 1:46:1
order_num :1438593986;Summ :46.500000;Date :2015-8-2 20:0:6
order_num :1438593986;Summ :46.500000;Date :2015-8-2 20:1:6
order_num :1438593986;Summ :46.500000;Date :2015-8-2 20:2:7
order_num :1438593986;Summ :46.500000;Date :2015-8-2 20:3:7
order_num :1438785374;Summ :46.000000;Date :2015-8-2 21:21:25
order_num :1438785374;Summ :46.000000;Date :2015-8-2 21:22:25
order_num :1438785374;Summ :46.000000;Date :2015-8-2 21:23:25
order_num :1438785374;Summ :46.000000;Date :2015-8-2 21:24:25
order_num :1438551907;Summ :50.000000;Date :2015-8-2 23:32:20
order_num :1438551907;Summ :50.000000;Date :2015-8-2 23:33:20
order_num :1438551907;Summ :50.000000;Date :2015-8-2 23:34:20
order_num :1438551907;Summ :50.000000;Date :2015-8-2 23:35:21
order_num :1438553500;Summ :1.000000;Date :2015-8-2 23:58:26
order_num :1438553500;Summ :1.000000;Date :2015-8-2 23:59:26
order_num :1438553500;Summ :1.000000;Date :2015-8-3 0:0:26
order_num :1438553500;Summ :1.000000;Date :2015-8-3 0:1:26
order_num :1438558871;Summ :236.000000;Date :2015-8-3 1:27:54
order_num :1438558871;Summ :236.000000;Date :2015-8-3 1:28:54
order_num :1438558871;Summ :236.000000;Date :2015-8-3 1:29:54
order_num :1438558871;Summ :236.000000;Date :2015-8-3 1:30:55
order_num :1438561035;Summ :100.000000;Date :2015-8-3 2:3:49
order_num :1438561035;Summ :100.000000;Date :2015-8-3 2:4:50
order_num :1438561035;Summ :100.000000;Date :2015-8-3 2:5:50
order_num :1438561035;Summ :100.000000;Date :2015-8-3 2:6:50
order_num :1438757551;Summ :30.000000;Date :2015-8-3 5:3:23
order_num :1438757551;Summ :30.000000;Date :2015-8-3 5:4:24
order_num :1438757551;Summ :30.000000;Date :2015-8-3 5:5:24
order_num :1438757551;Summ :30.000000;Date :2015-8-3 5:6:24
order_num :1438859203;Summ :10.000000;Date :2015-8-4 0:59:40
order_num :1438859203;Summ :10.000000;Date :2015-8-4 1:0:40
order_num :1438859203;Summ :10.000000;Date :2015-8-4 1:1:40
order_num :1438859203;Summ :10.000000;Date :2015-8-4 1:2:40
order_num :1438932849;Summ :38.000000;Date :2015-8-4 18:28:41
order_num :1438932849;Summ :38.000000;Date :2015-8-4 18:29:41
order_num :1438932849;Summ :38.000000;Date :2015-8-4 18:30:41
order_num :1438932849;Summ :38.000000;Date :2015-8-4 18:31:41
order_num :1438788263;Summ :93.000000;Date :2015-8-5 3:47:19
order_num :1438788263;Summ :93.000000;Date :2015-8-5 3:48:19
order_num :1438788263;Summ :93.000000;Date :2015-8-5 3:49:19
order_num :1438788263;Summ :93.000000;Date :2015-8-5 3:50:19
order_num :1438956671;Summ :45.600000;Date :2015-8-5 23:13:10
order_num :1438956671;Summ :45.600000;Date :2015-8-5 23:14:11
order_num :1438956671;Summ :45.600000;Date :2015-8-5 23:15:11
order_num :1438956671;Summ :45.600000;Date :2015-8-5 23:16:50
order_num :1439000585;Summ :5.000000;Date :2015-8-6 3:19:12
order_num :1439000585;Summ :5.000000;Date :2015-8-6 3:20:12
order_num :1439000585;Summ :5.000000;Date :2015-8-6 3:21:12
order_num :1439000585;Summ :5.000000;Date :2015-8-6 3:22:12
order_num :1438898388;Summ :32.300000;Date :2015-8-7 3:20:56
order_num :1438898388;Summ :32.300000;Date :2015-8-7 3:21:57
order_num :1438898388;Summ :32.300000;Date :2015-8-7 3:22:57
order_num :1438898388;Summ :32.300000;Date :2015-8-7 3:23:57
order_num :1439051957;Summ :10.000000;Date :2015-8-7 20:43:15
order_num :1439051957;Summ :10.000000;Date :2015-8-7 20:44:15
order_num :1439051957;Summ :10.000000;Date :2015-8-7 20:45:15
order_num :1439051957;Summ :10.000000;Date :2015-8-7 20:46:15
order_num :1439152317;Summ :30.000000;Date :2015-8-7 21:27:33
order_num :1439152317;Summ :30.000000;Date :2015-8-7 21:28:33
order_num :1439152317;Summ :30.000000;Date :2015-8-7 21:29:34
order_num :1439152317;Summ :30.000000;Date :2015-8-7 21:30:34
order_num :1439152617;Summ :60.000000;Date :2015-8-7 21:31:47
order_num :1439152617;Summ :60.000000;Date :2015-8-7 21:32:47
order_num :1439152617;Summ :60.000000;Date :2015-8-7 21:33:48
order_num :1439152617;Summ :60.000000;Date :2015-8-7 21:34:48
order_num :1439055456;Summ :60.450000;Date :2015-8-8 2:41:56
order_num :1439055456;Summ :60.450000;Date :2015-8-8 2:42:57
order_num :1439055456;Summ :60.450000;Date :2015-8-8 2:43:57
order_num :1439055456;Summ :60.450000;Date :2015-8-8 2:44:57
order_num :1439222294;Summ :30.000000;Date :2015-8-8 3:35:56
order_num :1439222294;Summ :30.000000;Date :2015-8-8 3:36:57
order_num :1439222294;Summ :30.000000;Date :2015-8-8 3:37:57
order_num :1439222294;Summ :30.000000;Date :2015-8-8 3:38:57
order_num :1439241876;Summ :374.400000;Date :2015-8-8 23:10:27
order_num :1439241876;Summ :374.400000;Date :2015-8-8 23:11:27
order_num :1439241876;Summ :374.400000;Date :2015-8-8 23:12:28
order_num :1439241876;Summ :374.400000;Date :2015-8-8 23:13:28
order_num :1439243179;Summ :374.400000;Date :2015-8-8 23:30:39
order_num :1439243179;Summ :374.400000;Date :2015-8-8 23:31:39
order_num :1439243179;Summ :374.400000;Date :2015-8-8 23:32:40
order_num :1439243179;Summ :374.400000;Date :2015-8-8 23:33:40
order_num :1439376877;Summ :300.000000;Date :2015-8-9 17:0:32
order_num :1439376877;Summ :300.000000;Date :2015-8-9 17:1:32
order_num :1439376877;Summ :300.000000;Date :2015-8-9 17:2:32
order_num :1439376877;Summ :300.000000;Date :2015-8-9 17:3:33
order_num :1439213103;Summ :33.000000;Date :2015-8-9 17:33:45
order_num :1439213103;Summ :33.000000;Date :2015-8-9 17:34:45
order_num :1439213103;Summ :33.000000;Date :2015-8-9 17:35:45
order_num :1439308319;Summ :304.200000;Date :2015-8-9 17:36:25
order_num :1439213103;Summ :33.000000;Date :2015-8-9 17:36:45
order_num :1439308319;Summ :304.200000;Date :2015-8-9 17:37:25
order_num :1439308319;Summ :304.200000;Date :2015-8-9 17:38:25
order_num :1439308319;Summ :304.200000;Date :2015-8-9 17:39:25
order_num :1439244127;Summ :100.000000;Date :2015-8-10 2:9:4
order_num :1439244127;Summ :100.000000;Date :2015-8-10 2:10:4
order_num :1439244127;Summ :100.000000;Date :2015-8-10 2:11:4
order_num :1439244127;Summ :100.000000;Date :2015-8-10 2:12:5
order_num :1439347571;Summ :63.650000;Date :2015-8-10 3:10:2
order_num :1439347571;Summ :63.650000;Date :2015-8-10 3:11:2
order_num :1439347571;Summ :63.650000;Date :2015-8-10 3:12:3
order_num :1439347571;Summ :63.650000;Date :2015-8-10 3:13:3
order_num :1439415084;Summ :1.000000;Date :2015-8-10 3:35:42
order_num :1439415084;Summ :1.000000;Date :2015-8-10 3:36:42
order_num :1439415084;Summ :1.000000;Date :2015-8-10 3:37:42
order_num :1439415084;Summ :1.000000;Date :2015-8-10 3:38:43
order_num :1439509797;Summ :500.000000;Date :2015-8-11 5:56:6
order_num :1439509797;Summ :500.000000;Date :2015-8-11 5:57:6
order_num :1439509797;Summ :500.000000;Date :2015-8-11 5:58:6
order_num :1439509797;Summ :500.000000;Date :2015-8-11 5:59:7
order_num :1439551753;Summ :45.000000;Date :2015-8-11 21:36:58
order_num :1439551753;Summ :45.000000;Date :2015-8-11 21:37:59
order_num :1439551753;Summ :45.000000;Date :2015-8-11 21:38:59
order_num :1439551753;Summ :45.000000;Date :2015-8-11 21:39:59
order_num :1439543081;Summ :145.500000;Date :2015-8-12 0:54:38
order_num :1439543081;Summ :145.500000;Date :2015-8-12 0:55:38
order_num :1439543081;Summ :145.500000;Date :2015-8-12 0:56:38
order_num :1439543081;Summ :145.500000;Date :2015-8-12 0:57:38
order_num :1439692113;Summ :55.800000;Date :2015-8-13 21:38:55
order_num :1439692113;Summ :55.800000;Date :2015-8-13 21:39:55
order_num :1439692113;Summ :55.800000;Date :2015-8-13 21:40:55
order_num :1439692113;Summ :55.800000;Date :2015-8-13 21:41:55
order_num :1439469771;Summ :10.000000;Date :2015-8-13 21:44:23
order_num :1439692565;Summ :27.900000;Date :2015-8-13 21:44:47
order_num :1439469771;Summ :10.000000;Date :2015-8-13 21:45:23
order_num :1439692565;Summ :27.900000;Date :2015-8-13 21:45:48
order_num :1439469771;Summ :10.000000;Date :2015-8-13 21:46:23
order_num :1439692565;Summ :27.900000;Date :2015-8-13 21:46:48
order_num :1439469771;Summ :10.000000;Date :2015-8-13 21:47:24
order_num :1439692565;Summ :27.900000;Date :2015-8-13 21:47:48
order_num :1439738251;Summ :90.000000;Date :2015-8-13 22:47:55
order_num :1439738251;Summ :90.000000;Date :2015-8-13 22:48:55
order_num :1439738251;Summ :90.000000;Date :2015-8-13 22:49:55
order_num :1439738251;Summ :90.000000;Date :2015-8-13 22:50:55
order_num :1439516884;Summ :200.000000;Date :2015-8-14 5:44:22
order_num :1439516884;Summ :200.000000;Date :2015-8-14 5:45:22
order_num :1439516884;Summ :200.000000;Date :2015-8-14 5:46:22
order_num :1439516884;Summ :200.000000;Date :2015-8-14 5:47:22
order_num :1439643371;Summ :30.070000;Date :2015-8-15 2:8:41
order_num :1439643371;Summ :30.070000;Date :2015-8-15 2:9:41
order_num :1439643371;Summ :30.070000;Date :2015-8-15 2:10:42
order_num :1439643371;Summ :30.070000;Date :2015-8-15 2:11:42
order_num :1439800853;Summ :200.000000;Date :2015-8-15 4:16:6
order_num :1439800853;Summ :200.000000;Date :2015-8-15 4:17:6
order_num :1439800853;Summ :200.000000;Date :2015-8-15 4:18:6
order_num :1439800853;Summ :200.000000;Date :2015-8-15 4:19:7
order_num :1439825554;Summ :29.100000;Date :2015-8-15 8:3:11
order_num :1439825554;Summ :29.100000;Date :2015-8-15 8:4:11
order_num :1439825554;Summ :29.100000;Date :2015-8-15 8:5:11
order_num :1439825554;Summ :29.100000;Date :2015-8-15 8:6:11
order_num :1439675001;Summ :27.900000;Date :2015-8-15 18:15:1
order_num :1439675001;Summ :27.900000;Date :2015-8-15 18:16:1
order_num :1439675001;Summ :27.900000;Date :2015-8-15 18:17:1
